step,J,J_tensor,J_volume,J_reg,volume,grad_rms,step_rms,grey,perimeter,C11,C12,ms
193,0.994224,0.980734,4.15936e-09,0.0134895,0.499935,0.974279,0.026947,0.0570488,0.301075,0.198177,0.0701936,1671.77
194,0.992953,0.979378,4.22308e-09,0.0135749,0.499935,0.974119,0.0269429,0.0568428,0.301524,0.198112,0.0701107,1672.1
195,0.991682,0.978021,4.28855e-09,0.0136609,0.499934,0.973972,0.0269385,0.0565071,0.301979,0.198048,0.0700265,1672.16
196,0.990414,0.976667,4.35235e-09,0.0137469,0.499934,0.973806,0.0269341,0.056118,0.302428,0.197982,0.0699415,1667.18
197,0.989152,0.975319,4.41362e-09,0.013833,0.499933,0.973634,0.0269301,0.0559387,0.302876,0.197915,0.0698562,1678.62
198,0.987901,0.973981,4.47978e-09,0.0139195,0.499933,0.973478,0.0269249,0.0555878,0.303325,0.197848,0.0697702,1677.78
199,0.986656,0.97265,4.53991e-09,0.0140056,0.499932,0.973284,0.0269202,0.0552177,0.303766,0.197779,0.0696837,1680.03
200,0.985421,0.971329,4.59648e-09,0.0140925,0.499932,0.973114,0.0269154,0.0548973,0.304214,0.197709,0.0695968,1680.59
201,0.984197,0.970017,4.64735e-09,0.0141796,0.499931,0.972931,0.0269105,0.0546379,0.30466,0.197639,0.0695095,1680.07
202,0.982986,0.968719,4.69912e-09,0.0142668,0.499931,0.97276,0.0269058,0.0545311,0.305105,0.197568,0.0694224,1686.62
