# Parseval spatial L2 error vs occupancy f for each family. fd_order 0 is the spectral operator (identically zero).
family_id,fd_order,content_fraction,N,dim,tau,l2_error
isotropic_exponential,0,4.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,4.0000000000e-01,64,3,1.0000000000e+00,1.7092469879e-03
isotropic_exponential,4,4.0000000000e-01,64,3,1.0000000000e+00,1.4068153632e-04
isotropic_exponential,6,4.0000000000e-01,64,3,1.0000000000e+00,2.2877539722e-05
isotropic_exponential,8,4.0000000000e-01,64,3,1.0000000000e+00,5.6333058301e-06
isotropic_exponential,12,4.0000000000e-01,64,3,1.0000000000e+00,7.3508972453e-07
isotropic_exponential,0,4.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,4.5000000000e-01,64,3,1.0000000000e+00,2.1652884067e-03
isotropic_exponential,4,4.5000000000e-01,64,3,1.0000000000e+00,2.2135736376e-04
isotropic_exponential,6,4.5000000000e-01,64,3,1.0000000000e+00,4.3960038604e-05
isotropic_exponential,8,4.5000000000e-01,64,3,1.0000000000e+00,1.2983063331e-05
isotropic_exponential,12,4.5000000000e-01,64,3,1.0000000000e+00,2.3152254398e-06
isotropic_exponential,0,5.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,5.0000000000e-01,64,3,1.0000000000e+00,2.6721496160e-03
isotropic_exponential,4,5.0000000000e-01,64,3,1.0000000000e+00,3.3052527407e-04
isotropic_exponential,6,5.0000000000e-01,64,3,1.0000000000e+00,7.7999819626e-05
isotropic_exponential,8,5.0000000000e-01,64,3,1.0000000000e+00,2.6871496403e-05
isotropic_exponential,12,5.0000000000e-01,64,3,1.0000000000e+00,6.1972870008e-06
isotropic_exponential,0,5.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,5.5000000000e-01,64,3,1.0000000000e+00,3.2293211255e-03
isotropic_exponential,4,5.5000000000e-01,64,3,1.0000000000e+00,4.7310519458e-04
isotropic_exponential,6,5.5000000000e-01,64,3,1.0000000000e+00,1.2975006521e-04
isotropic_exponential,8,5.5000000000e-01,64,3,1.0000000000e+00,5.0974554323e-05
isotropic_exponential,12,5.5000000000e-01,64,3,1.0000000000e+00,1.4533114075e-05
isotropic_exponential,0,6.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,6.0000000000e-01,64,3,1.0000000000e+00,3.8360724029e-03
isotropic_exponential,4,6.0000000000e-01,64,3,1.0000000000e+00,6.5390960332e-04
isotropic_exponential,6,6.0000000000e-01,64,3,1.0000000000e+00,2.0455733482e-04
isotropic_exponential,8,6.0000000000e-01,64,3,1.0000000000e+00,8.9898851223e-05
isotropic_exponential,12,6.0000000000e-01,64,3,1.0000000000e+00,3.0475607168e-05
isotropic_exponential,0,6.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,6.5000000000e-01,64,3,1.0000000000e+00,4.4914041895e-03
isotropic_exponential,4,6.5000000000e-01,64,3,1.0000000000e+00,8.7739712579e-04
isotropic_exponential,6,6.5000000000e-01,64,3,1.0000000000e+00,3.0800306812e-04
isotropic_exponential,8,6.5000000000e-01,64,3,1.0000000000e+00,1.4885439893e-04
isotropic_exponential,12,6.5000000000e-01,64,3,1.0000000000e+00,5.7989076620e-05
isotropic_exponential,0,7.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,7.0000000000e-01,64,3,1.0000000000e+00,5.1938894667e-03
isotropic_exponential,4,7.0000000000e-01,64,3,1.0000000000e+00,1.1472663057e-03
isotropic_exponential,6,7.0000000000e-01,64,3,1.0000000000e+00,4.4530610214e-04
isotropic_exponential,8,7.0000000000e-01,64,3,1.0000000000e+00,2.3302693804e-04
isotropic_exponential,12,7.0000000000e-01,64,3,1.0000000000e+00,1.0133292383e-04
isotropic_exponential,0,7.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,7.5000000000e-01,64,3,1.0000000000e+00,5.9413872509e-03
isotropic_exponential,4,7.5000000000e-01,64,3,1.0000000000e+00,1.4659129749e-03
isotropic_exponential,6,7.5000000000e-01,64,3,1.0000000000e+00,6.2058561966e-04
isotropic_exponential,8,7.5000000000e-01,64,3,1.0000000000e+00,3.4680285106e-04
isotropic_exponential,12,7.5000000000e-01,64,3,1.0000000000e+00,1.6438765495e-04
isotropic_exponential,0,8.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,8.0000000000e-01,64,3,1.0000000000e+00,6.7306827302e-03
isotropic_exponential,4,8.0000000000e-01,64,3,1.0000000000e+00,1.8338971238e-03
isotropic_exponential,6,8.0000000000e-01,64,3,1.0000000000e+00,8.3620687788e-04
isotropic_exponential,8,8.0000000000e-01,64,3,1.0000000000e+00,4.9309712961e-04
isotropic_exponential,12,8.0000000000e-01,64,3,1.0000000000e+00,2.5005333544e-04
isotropic_exponential,0,8.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,8.5000000000e-01,64,3,1.0000000000e+00,7.5571714930e-03
isotropic_exponential,4,8.5000000000e-01,64,3,1.0000000000e+00,2.2496069481e-03
isotropic_exponential,6,8.5000000000e-01,64,3,1.0000000000e+00,1.0924093731e-03
isotropic_exponential,8,8.5000000000e-01,64,3,1.0000000000e+00,6.7296884028e-04
isotropic_exponential,12,8.5000000000e-01,64,3,1.0000000000e+00,3.5987498763e-04
isotropic_exponential,0,9.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_exponential,2,9.0000000000e-01,64,3,1.0000000000e+00,8.4147105859e-03
isotropic_exponential,4,9.0000000000e-01,64,3,1.0000000000e+00,2.7092332120e-03
isotropic_exponential,6,9.0000000000e-01,64,3,1.0000000000e+00,1.3872862812e-03
isotropic_exponential,8,9.0000000000e-01,64,3,1.0000000000e+00,8.8556839864e-04
isotropic_exponential,12,9.0000000000e-01,64,3,1.0000000000e+00,4.9393401392e-04
separable_exponential,0,1.0000000000e-01,64,3,1.0000000000e+00,0
separable_exponential,2,1.0000000000e-01,64,3,1.0000000000e+00,3.5372256196e-05
separable_exponential,4,1.0000000000e-01,64,3,1.0000000000e+00,1.8475525261e-07
separable_exponential,6,1.0000000000e-01,64,3,1.0000000000e+00,2.0076285349e-09
separable_exponential,8,1.0000000000e-01,64,3,1.0000000000e+00,3.6220596475e-11
separable_exponential,12,1.0000000000e-01,64,3,1.0000000000e+00,3.3382789271e-14
separable_exponential,0,1.5000000000e-01,64,3,1.0000000000e+00,0
separable_exponential,2,1.5000000000e-01,64,3,1.0000000000e+00,9.3794794881e-05
separable_exponential,4,1.5000000000e-01,64,3,1.0000000000e+00,1.0813421559e-06
separable_exponential,6,1.5000000000e-01,64,3,1.0000000000e+00,2.6230338988e-08
separable_exponential,8,1.5000000000e-01,64,3,1.0000000000e+00,1.0437004225e-09
separable_exponential,12,1.5000000000e-01,64,3,1.0000000000e+00,4.5731273491e-12
separable_exponential,0,2.0000000000e-01,64,3,1.0000000000e+00,0
separable_exponential,2,2.0000000000e-01,64,3,1.0000000000e+00,1.8105709696e-04
separable_exponential,4,2.0000000000e-01,64,3,1.0000000000e+00,3.6720963464e-06
separable_exponential,6,2.0000000000e-01,64,3,1.0000000000e+00,1.5582274077e-07
